energy_eV,cross_section_m2
0.02564,8.5264e-19
0.05258,1.12764e-18
0.07896,1.57921e-18
0.1062,2.23784e-18
0.13303,2.88092e-18
0.16412,3.40358e-18
0.19147,3.91415e-18
0.21159,4.258e-18
0.25021,4.258e-18
0.27232,4.20102e-18
0.29639,3.97393e-18
0.32258,3.65302e-18
0.43905,2.79962e-18
0.54998,2.11687e-18
0.65148,1.74124e-18
0.77041,1.47137e-18
0.86299,1.24543e-18
0.97822,1.08297e-18
1.06467,9.27541e-19
1.19261,8.17489e-19
1.29801,7.52741e-19
1.41033,6.44705e-19
1.49393,5.92644e-19
1.6232,5.37496e-19
1.76665,4.8748e-19
2.06453,3.89661e-19
2.58176,2.94634e-19
3.67209,1.25667e-19
4.6626,2.82488e-19
5.03597,2.25766e-19
5.73846,4.55551e-19
6.09609,5.90665e-19
6.67476,6.65535e-19
7.22925,7.47267e-19
7.91548,7.93214e-19
8.92203,8.39036e-19
9.8639,8.39036e-19
11.3629,7.93214e-19
12.4264,7.26575e-19
15.3547,6.44839e-19
19.5317,4.97332e-19
24.845,4.05725e-19
31.6037,3.60083e-19
38.2566,2.93757e-19
50.7059,2.61627e-19
63.8787,2.25766e-19
85.3856,1.84181e-19
103.36,1.74122e-19
172.585,1.02848e-19
252.59,7.03981e-20
341.326,5.11495e-20
452.4,3.93108e-20
563.76,3.11819e-20
696.61,2.54383e-20
859.726,1.95505e-20
1000.0,1.74122e-20
1258.93,1.3831e-20
1584.89,1.09864e-20
1995.26,8.72677e-21
2511.89,6.93192e-21
3162.28,5.50622e-21
3981.07,4.37375e-21
5011.87,3.47419e-21
6309.57,2.75965e-21
7943.28,2.19207e-21
10000.0,1.74122e-21
12589.3,1.3831e-21
15848.9,1.09864e-21
19952.6,8.72677e-22
25118.9,6.93192e-22
31622.8,5.50622e-22
39810.7,4.37375e-22
50118.7,3.47419e-22
63095.7,2.75965e-22
79432.8,2.19207e-22
100000.0,1.74122e-22
125893.0,1.3831e-22
158489.0,1.09864e-22
199526.0,8.72677e-23
251189.0,6.93192e-23
316228.0,5.50622e-23
398107.0,4.37375e-23
501187.0,3.47419e-23
630957.0,2.75965e-23
794328.0,2.19207e-23
