energy_eV,cross_section_m2
5.1,1e-44
6.0807,5.01305e-23
6.91931,7.30371e-23
8.04657,9.81417e-23
9.16736,1.16601e-22
11.2019,1.27317e-22
13.281,1.27317e-22
16.4058,1.27317e-22
19.6395,1.27317e-22
24.4959,1.20351e-22
31.4514,1.03823e-22
39.6093,9.50837e-23
49.8833,8.23149e-23
76.7644,6.3229e-23
150.216,4.20462e-23
263.364,2.78619e-23
352.316,2.209e-23
505.502,1.85277e-23
649.823,1.3453e-23
809.53,1.19787e-23
1000.0,1.0047e-23
1258.93,8.70034e-24
1584.89,7.53419e-24
1995.26,6.52434e-24
2511.89,5.64984e-24
3162.28,4.89256e-24
3981.07,4.23678e-24
5011.87,3.6689e-24
6309.57,3.17714e-24
7943.28,2.75129e-24
10000.0,2.38252e-24
12589.3,2.06318e-24
15848.9,1.78664e-24
19952.6,1.54716e-24
25118.9,1.33979e-24
31622.8,1.16021e-24
39810.7,1.0047e-24
50118.7,8.70034e-25
63095.7,7.53419e-25
79432.8,6.52434e-25
100000.0,5.64984e-25
125893.0,4.89256e-25
158489.0,4.23678e-25
199526.0,3.6689e-25
251189.0,3.17714e-25
316228.0,5.64984e-25
398107.0,5.03543e-25
501187.0,4.48783e-25
630957.0,3.99978e-25
794328.0,3.56481e-25
