energy_eV,cross_section_m2
7.724,1e-44
8.1584,7.26575e-21
9.10733,9.7231e-21
10.4786,1.30116e-20
12.1883,1.64036e-20
15.6547,2.25766e-20
20.3268,2.77714e-20
26.6499,3.20699e-20
35.3222,3.20699e-20
42.758,3.11819e-20
53.283,2.85623e-20
61.3059,2.77714e-20
71.3086,2.93757e-20
83.7496,2.85623e-20
104.365,2.69078e-20
130.212,2.46472e-20
160.702,2.25766e-20
221.668,2.01073e-20
285.054,1.74122e-20
341.326,1.54534e-20
443.196,1.37632e-20
563.76,1.19184e-20
642.402,1.12281e-20
1000.0,6.65535e-21
1333.52,5.19876e-21
1778.28,4.05446e-21
2371.37,3.15735e-21
3162.28,2.45537e-21
4216.97,1.90703e-21
5623.41,1.47938e-21
7498.94,1.14636e-21
10000.0,8.8738e-22
13335.2,6.86236e-22
17782.8,5.30199e-22
23713.7,4.09287e-22
31622.8,3.15691e-22
42169.7,2.43311e-22
56234.1,1.87389e-22
74989.4,1.4422e-22
100000.0,1.10923e-22
133352.0,8.52597e-23
177828.0,6.54951e-23
237137.0,5.02838e-23
316228.0,3.85844e-23
421697.0,2.95919e-23
562341.0,2.26839e-23
749894.0,1.73803e-23
1000000.0,1.33107e-23
