Te_eV,k_iz_m3_s
5.00000000e-01,9.09174690e-21
7.50000000e-01,1.59396058e-18
1.00000000e+00,2.13500746e-17
1.25000000e+00,1.02523997e-16
1.50000000e+00,2.94675620e-16
1.75000000e+00,6.31509494e-16
2.00000000e+00,1.12636637e-15
2.25000000e+00,1.77725781e-15
2.50000000e+00,2.57314598e-15
2.75000000e+00,3.49862057e-15
3.00000000e+00,4.53680147e-15
3.25000000e+00,5.67097325e-15
3.50000000e+00,6.88543477e-15
3.75000000e+00,8.16589095e-15
4.00000000e+00,9.49958486e-15
4.25000000e+00,1.08752863e-14
4.50000000e+00,1.22832046e-14
4.75000000e+00,1.37148661e-14
5.00000000e+00,1.51629785e-14
5.50000000e+00,1.80844955e-14
6.00000000e+00,2.10081504e-14
6.50000000e+00,2.39056313e-14
7.00000000e+00,2.67571319e-14
7.50000000e+00,2.95492030e-14
8.00000000e+00,3.22731155e-14
8.50000000e+00,3.49236166e-14
9.00000000e+00,3.74979897e-14
9.50000000e+00,3.99953457e-14
1.00000000e+01,4.24160914e-14
1.05000000e+01,4.47615333e-14
1.10000000e+01,4.70335856e-14
1.15000000e+01,4.92345541e-14
1.20000000e+01,5.13669807e-14
1.25000000e+01,5.34335296e-14
1.30000000e+01,5.54369078e-14
1.35000000e+01,5.73798076e-14
1.40000000e+01,5.92648681e-14
1.45000000e+01,6.10946485e-14
1.50000000e+01,6.28716115e-14
1.55000000e+01,6.45981125e-14
1.60000000e+01,6.62763949e-14
1.65000000e+01,6.79085876e-14
1.70000000e+01,6.94967060e-14
1.75000000e+01,7.10426544e-14
1.80000000e+01,7.25482294e-14
1.85000000e+01,7.40151242e-14
1.90000000e+01,7.54449341e-14
1.95000000e+01,7.68391609e-14
2.00000000e+01,7.81992189e-14
2.10000000e+01,8.08220782e-14
2.20000000e+01,8.33232695e-14
2.30000000e+01,8.57114728e-14
2.40000000e+01,8.79944347e-14
2.50000000e+01,9.01790977e-14
2.60000000e+01,9.22717111e-14
2.70000000e+01,9.42779276e-14
2.80000000e+01,9.62028847e-14
2.90000000e+01,9.80512735e-14
3.00000000e+01,9.98273964e-14
3.10000000e+01,1.01535215e-13
3.20000000e+01,1.03178393e-13
3.30000000e+01,1.04760324e-13
3.40000000e+01,1.06284168e-13
3.50000000e+01,1.07752870e-13
3.60000000e+01,1.09169180e-13
3.70000000e+01,1.10535675e-13
3.80000000e+01,1.11854770e-13
3.90000000e+01,1.13128733e-13
4.00000000e+01,1.14359697e-13
4.10000000e+01,1.15549668e-13
4.20000000e+01,1.16700536e-13
4.30000000e+01,1.17814085e-13
4.40000000e+01,1.18891995e-13
4.50000000e+01,1.19935856e-13
4.60000000e+01,1.20947167e-13
4.70000000e+01,1.21927350e-13
4.80000000e+01,1.22877746e-13
4.90000000e+01,1.23799627e-13
5.00000000e+01,1.24694199e-13
5.10000000e+01,1.25562604e-13
5.20000000e+01,1.26405925e-13
5.30000000e+01,1.27225191e-13
5.40000000e+01,1.28021378e-13
5.50000000e+01,1.28795416e-13
5.60000000e+01,1.29548186e-13
5.70000000e+01,1.30280527e-13
5.80000000e+01,1.30993239e-13
5.90000000e+01,1.31687082e-13
6.00000000e+01,1.32362780e-13
6.10000000e+01,1.33021023e-13
6.20000000e+01,1.33662470e-13
6.30000000e+01,1.34287747e-13
6.40000000e+01,1.34897453e-13
6.50000000e+01,1.35492159e-13
6.60000000e+01,1.36072409e-13
6.70000000e+01,1.36638725e-13
6.80000000e+01,1.37191601e-13
6.90000000e+01,1.37731513e-13
7.00000000e+01,1.38258914e-13
7.10000000e+01,1.38774235e-13
7.20000000e+01,1.39277891e-13
7.30000000e+01,1.39770277e-13
7.40000000e+01,1.40251769e-13
7.50000000e+01,1.40722729e-13
7.60000000e+01,1.41183501e-13
7.70000000e+01,1.41634415e-13
7.80000000e+01,1.42075786e-13
7.90000000e+01,1.42507916e-13
8.00000000e+01,1.42931091e-13
8.10000000e+01,1.43345588e-13
8.20000000e+01,1.43751669e-13
8.30000000e+01,1.44149586e-13
8.40000000e+01,1.44539581e-13
8.50000000e+01,1.44921883e-13
8.60000000e+01,1.45296713e-13
8.70000000e+01,1.45664281e-13
8.80000000e+01,1.46024789e-13
8.90000000e+01,1.46378430e-13
9.00000000e+01,1.46725388e-13
9.10000000e+01,1.47065841e-13
9.20000000e+01,1.47399957e-13
9.30000000e+01,1.47727898e-13
9.40000000e+01,1.48049821e-13
9.50000000e+01,1.48365872e-13
9.60000000e+01,1.48676195e-13
9.70000000e+01,1.48980927e-13
9.80000000e+01,1.49280197e-13
9.90000000e+01,1.49574133e-13
1.00000000e+02,1.49862853e-13
