x_m,Gamma_Cu0_target_return_m1_s,Gamma_Cu0_wafer_m1_s,Gamma_Cuplus_target_m1_s,Gamma_Cuplus_wafer_m1_s
-0.23812499999999998,0.0,0.0,0.0,0.0
-0.234375,0.0,0.0,0.0,0.0
-0.23062499999999997,0.0,0.0,0.0,0.0
-0.226875,0.0,0.0,0.0,0.0
-0.223125,0.0,0.0,0.0,0.0
-0.219375,0.0,0.0,0.0,0.0
-0.215625,0.0,0.0,0.0,0.0
-0.21187499999999998,0.0,0.0,0.0,0.0
-0.208125,0.0,0.0,0.0,0.0
-0.20437499999999997,0.0,0.0,0.0,0.0
-0.200625,0.0,0.0,0.0,0.0
-0.196875,0.0,0.0,0.0,0.0
-0.193125,0.0,0.0,0.0,0.0
-0.189375,0.0,0.0,0.0,0.0
-0.18562499999999998,0.0,0.0,0.0,0.0
-0.181875,0.0,0.0,0.0,0.0
-0.17812499999999998,0.0,0.0,0.0,0.0
-0.174375,0.0,0.0,0.0,0.0
-0.170625,0.0,0.0,0.0,0.0
-0.166875,0.0,0.0,0.0,0.0
-0.163125,0.0,0.0,0.0,0.0
-0.159375,0.0,0.0,0.0,0.0
-0.155625,0.0,0.0,0.0,0.0
-0.15187499999999998,0.0,0.0,0.0,0.0
-0.148125,0.0,8.670254783939471e+20,0.0,0.0
-0.14437499999999998,0.0,4.335127391969739e+20,0.0,0.0
-0.140625,0.0,6.021010266624637e+20,0.0,0.0
-0.136875,0.0,6.261850677289664e+20,0.0,0.0
-0.133125,0.0,6.02101026662459e+20,0.0,0.0
-0.129375,0.0,5.298489034629715e+20,0.0,0.0
-0.125625,0.0,4.81680821329971e+20,0.0,0.0
-0.121875,0.0,4.094286981304753e+20,0.0,0.0
-0.118125,0.0,5.0576486239646954e+20,0.0,0.0
-0.11437499999999999,0.0,5.780169855959652e+20,0.0,0.0
-0.11062499999999999,0.0,5.5393294452946665e+20,0.0,0.0
-0.10687499999999998,0.0,2.64924451731484e+20,0.0,0.0
-0.103125,0.0,7.225212319949614e+20,0.0,0.0
-0.099375,0.0,6.502691087954607e+20,0.0,0.0
-0.095625,0.0,5.0576486239646954e+20,0.0,0.0
-0.091875,0.0,3.612606159974782e+20,0.0,0.0
-0.088125,0.0,6.984371909284577e+20,0.0,0.0
-0.08437499999999999,0.0,5.298489034629681e+20,0.0,0.0
-0.08062499999999999,0.0,6.021010266624637e+20,0.0,0.0
